AFFGEOID,GEOID,busstop_count,bus_mean_service,busstop_mean_coverage
1400000US42129801100,42129801100,0.0,0.0,0.0
1400000US42003040200,42003040200,34.0,2588.70709752,23971.2941176
1400000US42003060300,42003060300,38.0,3476.49561404,40956.8684211
1400000US42003070500,42003070500,22.0,2969.77806474,23613.4545455
1400000US42003070800,42003070800,18.0,3475.6116823,31663.8888889
1400000US42003101600,42003101600,16.0,395.0,63981.9375
1400000US42003110200,42003110200,28.0,5003.0,52268.75
1400000US42003120300,42003120300,23.0,1242.26086957,60485.0434783
1400000US42003130600,42003130600,43.0,1616.37209302,52348.1627907
1400000US42003141000,42003141000,10.0,3999.65,108957.4
1400000US42003141300,42003141300,24.0,2061.76458333,43226.75
1400000US42003160900,42003160900,24.0,2929.65625,65713.5
1400000US42003191400,42003191400,21.0,612.619047619,31585.952381
1400000US42003191500,42003191500,41.0,1829.08517228,46316.6585366
1400000US42003191600,42003191600,19.0,6548.0,129731.833333
1400000US42003191900,42003191900,17.0,1540.52941176,61546.1764706
1400000US42003202300,42003202300,15.0,557.0,253894.533333
1400000US42003210700,42003210700,27.0,999.981481481,35976.2962963
1400000US42003220600,42003220600,17.0,1833.15098039,31529.7058824
1400000US42003250700,42003250700,15.0,2751.3,36811.2666667
1400000US42003260200,42003260200,27.0,2479.2962963,91209.4444444
1400000US42003260700,42003260700,12.0,3284.66666667,90561.3333333
1400000US42019912304,42019912304,0.0,0.0,0.0
1400000US42003271500,42003271500,35.0,2237.54285714,73230.9428571
1400000US42003290400,42003290400,22.0,3498.22727273,92735.8181818
1400000US42003310200,42003310200,25.0,1044.0,228982.32
1400000US42003320600,42003320600,17.0,1127.36470588,121498.823529
1400000US42003408002,42003408002,0.0,0.0,0.0
1400000US42003412002,42003412002,0.0,0.0,0.0
1400000US42003413400,42003413400,45.0,608.355555556,119076.666667
1400000US42003417100,42003417100,9.0,1225.5,333105.666667
1400000US42003419000,42003419000,31.0,1154.53010753,3186709.87097
1400000US42003421100,42003421100,51.0,3298.83986928,326194.27451
1400000US42003426700,42003426700,0.0,0.0,0.0
