route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
088-164,1609-Liberty-Weekday-31,9741-1387533,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -352,0880071
086-164,1609-Liberty-Weekday-31,9742-1387401,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -300,0860053
088-164,1609-Liberty-Weekday-31,9743-1387596,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071C-148,0880071
088-164,1609-Liberty-Weekday-31,9744-1387540,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071D-195,0880071
086-164,1609-Liberty-Weekday-31,9745-1387553,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -305,0860053
088-164,1609-Liberty-Weekday-31,9746-1387583,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,088 -353,0880071
086-164,1609-Liberty-Weekday-31,9747-1387551,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -302,0860053
088-164,1609-Liberty-Weekday-31,9748-1387303,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071C-151,0880071
088-164,1609-Liberty-Weekday-31,9749-1387348,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071D-198,0880071
086-164,1609-Liberty-Weekday-31,9750-1387592,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -304,0860053
088-164,1609-Liberty-Weekday-31,9751-1387640,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071B-114,0880071
086-164,1609-Liberty-Weekday-31,9752-1387526,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,071C-146,0860053
088-164,1609-Liberty-Weekday-31,9753-1387141,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,P1  -376,0880071
088-164,1609-Liberty-Weekday-31,9754-1387578,Outbound-PENN BAKERY SQUARE VIA STRIP DISTRICT,0,075 -236,0880059
086-164,1609-Liberty-Weekday-31,9755-1387552,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,086 -303,0860053
088-164,1609-Liberty-Weekday-31,9756-1387641,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,071D-200,0880071
086-164,1609-Liberty-Weekday-31,9757-1387473,Outbound-LIBERTY WILKINSBURG VIA HOMEWOOD,0,087 -336,0860053
088-164,1609-Liberty-Weekday-31,9758-1387320,Outbound-PENN-GARFIELD TO BAKERY SQUARE-5TH & MCPHERSON,0,086 -308,0880071
